step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,12.02225442812778,0,0.0,0.8722776394133143,0,0.0
20.0,0,0.0,0.0,13.655197766051298,0,0.0,0.9889935688013674,0,0.0
25.0,0,0.0,0.0,13.460556808708372,0,0.0,0.9750855573489703,0,0.0
30.0,0,0.0,0.0,13.116221684590384,0,0.0,0.9484669539976,0,0.0
35.0,0,0.0,0.0,13.183125147742336,0,0.0,0.9645947908616103,0,0.0
40.0,0,0.0,0.0,13.376575904801314,0,0.0,0.9544237996730753,0,0.0
45.0,0,0.0,0.0,13.470457363301366,0,0.0,0.9781708825717094,0,0.0
50.0,0,0.0,0.0,13.510570392817824,0,0.0,0.9819012424905549,0,0.0
55.0,0,0.0,0.0,13.05750572421677,0,0.0,0.9327707566438298,0,0.0
60.0,0,0.0,0.0,13.443282500239672,0,0.0,0.944959988344294,0,0.0
65.0,0,0.0,0.0,13.818960523971027,0,0.0,0.9709025012487542,0,0.0
70.0,1,2.0,0.16666666666666666,12.096710300138646,1,2.0,0.846714625585124,1,2.0
75.0,1,7.0,0.5,11.890434572924518,1,11.0,0.8187471700639705,1,11.0
80.0,1,12.0,0.8571428571428571,12.60469755569399,1,12.0,0.9052201996421736,1,12.0
85.0,1,1.0,0.0625,11.476496678683857,1,17.0,0.8074350660920407,1,17.0
90.0,2,8.0,0.5,11.609435719414016,2,8.0,0.8389764109999278,2,8.0
95.0,1,2.0,0.1,11.072096826948009,1,18.0,0.7771064428091905,1,18.0
100.0,1,7.0,0.2916666666666667,11.702401599521005,1,7.0,0.873210275194818,1,7.0
105.0,0,0.0,0.0,11.720619728431059,0,13.0,0.8493614921023873,0,13.0
110.0,1,2.0,0.06896551724137931,12.354561908022406,1,2.0,0.9182379588473918,1,2.0
115.0,2,9.0,0.3103448275862069,11.837379415094667,2,9.0,0.8577726924924621,2,9.0
120.0,2,19.0,0.6333333333333333,12.10156331854545,2,19.0,0.8601442370844611,2,19.0
125.0,2,18.0,0.5294117647058824,11.745807738351083,2,30.0,0.8053646832190076,2,30.0
130.0,2,28.0,0.8,12.297908366430468,2,28.0,0.8930282720404223,2,28.0
135.0,2,38.0,1.0,12.339414116212849,2,38.0,0.8765741191642077,2,38.0
140.0,3,52.0,1.2682926829268293,12.438790838562502,3,52.0,0.8689296323802306,3,52.0
145.0,3,67.0,1.5952380952380953,12.28902343318351,3,67.0,0.8644265644258339,3,67.0
150.0,4,86.0,1.9111111111111112,11.56588145820335,4,86.0,0.8107967050021978,4,86.0
155.0,3,97.0,2.1555555555555554,10.786691328239016,3,112.0,0.7420204625905531,3,112.0
160.0,8,126.0,2.52,9.753852063659105,8,126.0,0.7008241798352848,8,126.0
165.0,7,147.0,2.7735849056603774,9.753312426190417,7,175.0,0.6890658987560914,7,175.0
170.0,5,158.0,2.8727272727272726,10.607592092412096,5,158.0,0.8291449166613531,5,158.0
175.0,6,184.0,3.2280701754385963,10.513025200949713,6,184.0,0.7929515311907179,6,184.0
180.0,7,219.0,3.532258064516129,11.122578914977238,7,219.0,0.8119799082537736,7,219.0
185.0,8,256.0,4.0,11.155502120492024,8,256.0,0.7978875283430934,8,256.0
190.0,8,296.0,4.228571428571429,11.097239004152591,8,296.0,0.7912396700962198,8,296.0
195.0,10,344.0,4.586666666666667,11.235684118504446,10,344.0,0.7920492339397661,10,344.0
200.0,11,397.0,5.1558441558441555,11.15458250916758,11,397.0,0.788710189250098,11,397.0
205.0,12,457.0,5.858974358974359,10.917246588207767,12,457.0,0.7622599783541042,12,457.0
210.0,14,526.0,6.493827160493828,10.85141064378246,14,526.0,0.7514000077863233,14,526.0
215.0,15,598.0,6.953488372093023,10.626204236083177,15,598.0,0.727395625823974,15,598.0
220.0,17,677.0,7.279569892473118,10.656528971459057,17,677.0,0.7322069843766302,17,677.0
225.0,18,764.0,7.958333333333333,10.630479947146755,18,764.0,0.7210726880718131,18,764.0
230.0,19,856.0,8.56,10.554257009577654,19,856.0,0.7059345457021208,19,856.0
235.0,19,951.0,9.323529411764707,10.55421673409909,19,951.0,0.7019944853343526,19,951.0
240.0,22,865.0,8.08411214953271,9.842468754335302,22,1058.0,0.6339663887332935,22,1058.0
245.0,25,944.0,8.660550458715596,9.785088660223556,25,957.0,0.6487245598465218,25,957.0
250.0,22,1023.0,8.895652173913044,9.612655092887625,22,1081.0,0.6308086224233236,22,1081.0
255.0,21,1105.0,9.525862068965518,9.932059339920071,21,1121.0,0.6781028893375881,21,1121.0
260.0,24,1223.0,9.94308943089431,10.120384271339795,24,1236.0,0.6756898516654809,24,1236.0
265.0,25,1347.0,10.69047619047619,10.359207393974565,25,1360.0,0.6704317214268022,25,1360.0
270.0,25,1472.0,11.410852713178295,10.509831259101569,25,1485.0,0.6616294202262035,25,1485.0
275.0,31,1615.0,12.052238805970148,10.084355688109174,31,1628.0,0.623769506251023,31,1628.0
280.0,35,1779.0,12.985401459854014,9.67089462990071,35,1792.0,0.5815001073338792,35,1792.0
285.0,39,1971.0,13.783216783216783,9.638792415043016,39,1984.0,0.5834381820777133,39,1984.0
290.0,41,2169.0,15.167832167832168,9.182810538190358,41,2182.0,0.5425633711631763,41,2182.0
